30 419
4 20 1.84147
22 27 1.99422
20 22 2.28798
4 27 2.50046
13 27 2.7992
11 28 3.26647
6 7 3.31264
4 13 3.85751
22 24 3.93382
16 29 4.16626
13 22 4.3066
9 10 4.33666
4 24 4.46103
7 11 4.46435
10 29 4.47252
11 15 4.55816
14 22 4.57914
4 14 4.7185
15 29 4.84115
9 11 5.04399
17 19 5.0457
24 28 5.10672
14 28 5.16154
17 29 5.29009
15 28 5.29134
7 28 5.36174
16 19 5.48994
24 27 5.87374
9 15 5.88405
20 24 6.10196
23 24 6.12297
9 16 6.20286
7 23 6.36574
16 17 6.44326
14 20 6.5122
3 25 6.55224
12 26 6.55549
14 27 6.57331
14 23 6.58189
11 29 6.6501
9 23 6.65789
6 12 6.90612
23 29 7.10394
9 19 7.11669
16 25 7.26802
19 21 7.26841
10 25 7.29174
11 17 7.30811
2 8 7.31014
7 12 7.55418
19 29 7.65832
6 11 7.77134
16 21 7.90446
7 9 8.02078
15 24 8.05932
13 24 8.17198
9 28 8.17446
12 17 8.18171
3 21 8.23422
11 24 8.25743
6 28 8.33689
3 19 8.35386
11 14 8.42177
13 14 8.56772
15 17 8.67682
15 16 8.83086
10 21 8.88239
14 15 8.8957
22 28 8.96245
7 15 8.98616
28 29 9.10267
10 15 9.12025
7 17 9.16145
17 23 9.2774
10 11 9.36877
9 12 9.46616
7 14 9.47193
1 3 9.49525
4 28 9.56541
6 23 9.60916
22 23 9.62517
3 18 9.81556
7 24 9.93827
11 12 9.97943
17 26 9.99807
17 25 10.0152
4 23 10.4732
17 28 10.5634
7 29 10.5797
19 26 10.5847
11 16 10.6533
1 2 10.7051
10 23 10.7292
6 9 10.7931
15 22 10.7978
27 28 10.8025
1 8 10.966
25 29 11.0379
20 28 11.19
18 21 11.2376
16 23 11.2699
23 27 11.2714
6 17 11.3382
10 12 11.3932
3 10 11.5308
6 14 11.5599
9 25 11.6267
12 19 11.7272
3 8 11.8666
18 25 11.881
20 23 11.9118
4 15 11.9127
3 26 11.9189
17 21 11.919
11 22 11.981
21 29 11.9987
10 26 12.0488
15 27 12.072
7 10 12.1006
11 19 12.1114
15 19 12.296
6 15 12.2986
6 24 12.2996
12 28 12.4001
2 18 12.4066
10 28 12.4253
9 26 12.493
12 23 12.5451
4 11 12.7071
12 29 12.7458
9 24 12.7799
24 29 12.8128
3 17 12.8643
3 16 12.977
15 20 13.0259
1 18 13.1378
9 21 13.1589
9 14 13.1895
13 28 13.252
16 28 13.26
6 26 13.46
14 29 13.5285
6 29 13.6281
11 27 13.7141
19 23 13.7267
7 26 13.7967
7 22 13.8666
13 23 13.9135
12 15 13.9534
4 7 14.187
7 19 14.1916
7 16 14.1954
11 20 14.2509
25 26 14.3313
6 10 14.536
12 16 14.6239
1 26 14.7032
13 15 14.8572
11 26 15.1032
26 29 15.286
19 28 15.2885
3 9 15.33
17 24 15.3819
16 26 15.3957
22 29 15.6323
14 17 15.6871
8 21 15.7456
7 27 15.8099
8 25 15.871
15 25 15.8753
3 29 15.953
7 20 15.9556
1 25 16.0405
6 22 16.1227
9 22 16.1513
6 19 16.1787
4 6 16.2116
11 13 16.2874
18 19 16.3721
2 3 16.5497
3 12 16.6291
12 25 16.6546
11 25 16.6598
15 21 16.7348
4 29 16.7536
10 24 16.7727
21 26 16.8237
27 29 16.8458
16 24 16.8833
6 16 16.9868
12 14 16.9884
1 19 17.0659
4 9 17.0862
10 14 17.311
12 24 17.3431
1 21 17.5165
23 26 17.6391
9 27 17.6483
14 16 17.6536
20 29 17.8469
23 25 17.898
7 13 18.0229
26 28 18.0306
6 20 18.0398
11 21 18.1
6 27 18.1113
15 26 18.1403
9 20 18.4348
17 22 18.8603
12 21 18.9698
16 18 18.9864
21 23 19.0613
10 18 19.08
7 25 19.1678
16 22 19.4809
13 29 19.6415
25 28 19.6809
8 19 19.7014
4 17 19.7492
19 24 19.8235
10 22 19.8742
6 13 20.0646
3 11 20.1693
1 10 20.2066
14 19 20.2913
9 13 20.3783
17 27 20.4
16 27 20.5334
1 17 20.5741
3 15 20.6478
4 16 20.6678
4 10 20.9222
21 28 20.9646
7 21 20.9683
1 12 21.1224
17 20 21.1475
10 27 21.1922
6 25 21.2627
12 22 21.2726
17 18 21.3997
3 7 21.45
16 20 21.635
18 26 21.6775
4 12 21.6862
2 25 21.9256
3 23 21.9869
10 20 22.1248
1 16 22.2083
2 21 22.2909
8 10 22.6867
3 6 22.6969
8 26 22.7769
18 29 22.9047
14 26 22.963
19 22 23.0158
13 17 23.1123
24 26 23.1257
8 16 23.1362
12 27 23.169
6 21 23.2532
1 9 23.3231
13 16 23.3295
9 18 23.3708
0 8 23.4009
3 28 23.4146
12 20 23.4234
0 2 23.5832
24 25 23.8188
10 13 23.9764
4 19 24.0365
19 27 24.3652
14 25 24.4564
8 17 24.5494
1 29 24.6684
21 24 24.7827
