50 419
6 28 1.84147
33 44 1.99422
28 33 2.28798
6 44 2.50046
18 44 2.7992
16 47 3.26647
9 10 3.31264
6 18 3.85751
33 37 3.93382
22 48 4.16626
18 33 4.3066
12 14 4.33666
6 37 4.46103
10 16 4.46435
14 48 4.47252
16 21 4.55816
19 33 4.57914
6 19 4.7185
21 48 4.84115
12 16 5.04399
24 26 5.0457
37 47 5.10672
19 47 5.16154
24 48 5.29009
21 47 5.29134
10 47 5.36174
22 26 5.48994
37 44 5.87374
12 21 5.88405
28 37 6.10196
34 37 6.12297
12 22 6.20286
10 34 6.36574
22 24 6.44326
19 28 6.5122
5 40 6.55224
17 42 6.55549
19 44 6.57331
19 34 6.58189
16 48 6.6501
12 34 6.65789
9 17 6.90612
34 48 7.10394
12 26 7.11669
22 40 7.26802
26 32 7.26841
14 40 7.29174
16 24 7.30811
4 11 7.31014
10 17 7.55418
26 48 7.65832
9 16 7.77134
22 32 7.90446
10 12 8.02078
21 37 8.05932
18 37 8.17198
12 47 8.17446
17 24 8.18171
5 32 8.23422
16 37 8.25743
9 47 8.33689
5 26 8.35386
16 19 8.42177
18 19 8.56772
21 24 8.67682
21 22 8.83086
14 32 8.88239
19 21 8.8957
33 47 8.96245
10 21 8.98616
47 48 9.10267
14 21 9.12025
10 24 9.16145
24 34 9.2774
14 16 9.36877
12 17 9.46616
10 19 9.47193
2 5 9.49525
6 47 9.56541
9 34 9.60916
33 34 9.62517
5 25 9.81556
10 37 9.93827
16 17 9.97943
24 42 9.99807
24 40 10.0152
6 34 10.4732
24 47 10.5634
10 48 10.5797
26 42 10.5847
16 22 10.6533
2 4 10.7051
14 34 10.7292
9 12 10.7931
21 33 10.7978
44 47 10.8025
2 11 10.966
40 48 11.0379
28 47 11.19
25 32 11.2376
22 34 11.2699
34 44 11.2714
9 24 11.3382
14 17 11.3932
5 14 11.5308
9 19 11.5599
12 40 11.6267
17 26 11.7272
5 11 11.8666
25 40 11.881
28 34 11.9118
6 21 11.9127
5 42 11.9189
24 32 11.919
16 33 11.981
32 48 11.9987
14 42 12.0488
21 44 12.072
10 14 12.1006
16 26 12.1114
21 26 12.296
9 21 12.2986
9 37 12.2996
17 47 12.4001
4 25 12.4066
14 47 12.4253
12 42 12.493
17 34 12.5451
6 16 12.7071
17 48 12.7458
12 37 12.7799
37 48 12.8128
5 24 12.8643
5 22 12.977
21 28 13.0259
2 25 13.1378
12 32 13.1589
12 19 13.1895
18 47 13.252
22 47 13.26
9 42 13.46
19 48 13.5285
9 48 13.6281
16 44 13.7141
26 34 13.7267
10 42 13.7967
10 33 13.8666
18 34 13.9135
17 21 13.9534
6 10 14.187
10 26 14.1916
10 22 14.1954
